country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,rain_1h,rain_3h,timezone,cloud,description,region,population
NG,Siluko,6.37,5.03,305.95,305.95,305.95,1010,56,1010,1006,1.58,232,1708494912,1708537937,,,3600,65,broken clouds,Ondo,15297
NG,Alodifi,7.19,5.29,304.2,304.2,304.2,1010,57,1010,976,1.9,222,1708494888,1708537837,,,3600,65,broken clouds,Ondo,14833
NG,Ilare,7.28,5.04,304.15,304.15,304.15,1010,57,1010,977,1.87,227,1708494952,1708537893,,,3600,49,scattered clouds,Ondo,25803
NG,Igarra,7.46,5.86,303.37,303.37,303.37,1010,57,1010,966,3,226,1708494763,1708537687,,,3600,81,broken clouds,Ondo,27018
NG,Alodifi,7.17,5.38,304.03,304.03,304.03,1010,57,1010,976,2.02,221,1708494865,1708537816,,,3600,61,broken clouds,Ondo,12670
NG,Alodifi,7.24,5.44,303.75,303.75,303.75,1010,57,1010,973,2.18,220,1708494854,1708537798,,,3600,63,broken clouds,Ondo,6681
NG,Ondo State,7.21,5.11,304.17,304.17,304.17,1010,57,1010,976,1.84,225,1708494932,1708537879,,,3600,54,broken clouds,Ondo,12202
NG,Owo,7.27,5.46,303.7,303.7,303.7,1010,57,1010,972,2.22,220,1708494850,1708537792,,,3600,64,broken clouds,Ondo,5358
NG,Alodifi,7.28,5.3,303.93,303.93,303.93,1010,57,1010,971,1.96,222,1708494889,1708537830,,,3600,70,broken clouds,Ondo,34765
NG,Owo,7.05,5.62,304.33,304.33,304.33,1010,57,1010,985,2.26,227,1708494802,1708537764,,,3600,61,broken clouds,Ondo,5900
NG,Owo,7.05,5.62,304.33,304.33,304.33,1010,57,1010,985,2.26,227,1708494802,1708537764,,,3600,61,broken clouds,Ondo,5900
NG,Akure,7.18,5.23,304.08,304.08,304.08,1010,57,1010,974,1.83,222,1708494901,1708537852,,,3600,65,broken clouds,Ondo,53788
NG,Owo,7.24,5.51,303.8,303.8,303.8,1010,58,1010,976,2.31,219,1708494837,1708537782,,,3600,61,broken clouds,Ondo,12942
NG,Owo,7.25,5.52,303.71,303.71,303.71,1010,58,1010,974,2.34,219,1708494835,1708537779,,,3600,62,broken clouds,Ondo,8602
NG,Agbabu,6.27,4.57,302.98,302.98,302.98,1010,73,1010,1009,2.19,232,1708495018,1708538052,,,3600,65,broken clouds,Ondo,10873
NG,Agbabu,6.28,4.89,305.67,305.67,305.67,1010,58,1010,1008,1.82,228,1708494942,1708537974,,,3600,66,broken clouds,Ondo,22201
NG,Igarra,7.43,5.92,303.81,303.81,303.81,1010,56,1010,972,3.03,227,1708494747,1708537674,,,3600,88,overcast clouds,Ondo,26958
NG,Agbabu,6.48,4.77,305.86,305.86,305.86,1010,57,1010,1005,1.41,235,1708494980,1708537994,,,3600,47,scattered clouds,Ondo,121873
NG,Emure-Ekiti,7.33,5.5,303.73,303.73,303.73,1010,57,1010,972,2.29,222,1708494844,1708537780,,,3600,68,broken clouds,Ondo,11579
NG,Agbabu,6.58,4.62,305.83,305.83,305.83,1010,56,1010,1005,1.52,231,1708495020,1708538025,,,3600,58,broken clouds,Ondo,16490
NG,Ondo,6.98,4.85,304.54,304.54,304.54,1010,57,1010,985,1.62,224,1708494983,1708537952,,,3600,58,broken clouds,Ondo,8058
NG,Agbabu,6.4,4.75,305.69,305.69,305.69,1010,58,1010,1007,1.66,231,1708494981,1708538003,,,3600,52,broken clouds,Ondo,17895
NG,Ondo,6.96,4.82,304.6,304.6,304.6,1010,57,1010,986,1.61,224,1708494990,1708537960,,,3600,60,broken clouds,Ondo,8237
NG,Ondo State,7.13,5.04,304.54,304.54,304.54,1010,57,1010,984,1.78,226,1708494945,1708537899,,,3600,49,scattered clouds,Ondo,7550
NG,Owo,7.23,5.45,303.83,303.83,303.83,1010,57,1010,974,2.19,220,1708494851,1708537796,,,3600,62,broken clouds,Ondo,5678
NG,Ilare,7.39,5.1,303.55,303.55,303.55,1010,58,1010,967,1.88,229,1708494942,1708537873,,,3600,62,broken clouds,Ondo,37995
NG,Agbabu,6.11,4.77,303.65,303.65,303.65,1010,68,1010,1009,2.36,225,1708494963,1708538011,,,3600,60,broken clouds,Ondo,11903
NG,Omuo-Ekiti,7.58,5.82,303.7,303.7,303.7,1010,57,1010,971,2.81,229,1708494778,1708537692,,,3600,75,broken clouds,Ondo,25142
NG,Agbabu,6.27,4.63,303.77,303.77,303.77,1010,68,1010,1009,2.16,230,1708495004,1708538037,,,3600,64,broken clouds,Ondo,19069
NG,Emure-Ekiti,7.44,5.72,303.69,303.69,303.69,1010,58,1010,974,2.84,226,1708494796,1708537722,,,3600,69,broken clouds,Ondo,44000
NG,Agbabu,6.72,4.58,305.8,305.8,305.8,1010,56,1010,1002,1.43,231,1708495036,1708538029,,,3600,61,broken clouds,Ondo,13261
NG,Agbabu,6.72,4.58,305.8,305.8,305.8,1010,56,1010,1002,1.43,231,1708495036,1708538029,,,3600,61,broken clouds,Ondo,13261
NG,Siluko,6.25,4.97,305.78,305.78,305.78,1010,57,1010,1009,1.72,227,1708494921,1708537957,,,3600,71,broken clouds,Ondo,22029
NG,Agbabu,6.67,4.84,305.98,305.98,305.98,1010,56,1010,1006,1.44,232,1708494972,1708537969,,,3600,54,broken clouds,Ondo,13261
NG,Ilare,7.32,5.14,303.51,303.51,303.51,1010,57,1010,965,1.88,226,1708494930,1708537867,,,3600,62,broken clouds,Ondo,129565
